Rank,Player,Position
0,David Johnson,rb
1,Le'Veon Bell,rb
2,Antonio Brown,wr
3,Julio Jones,wr
4,Odell Beckham Jr,wr
5,Mike Evans,wr
6,LeSean McCoy,rb
7,Melvin Gordon,rb
8,Devonta Freeman,rb
9,A.J. Green,wr
10,Jordy Nelson,wr
11,Jay Ajayi,rb
12,Michael Thomas,wr
13,Jordan Howard,rb
14,DeMarco Murray,rb
15,Aaron Rodgers,qb
16,Dez Bryant,wr
17,Amari Cooper,wr
18,Ezekiel Elliott,rb
19,Rob Gronkowski,te
20,Todd Gurley,rb
21,Brandin Cooks,wr
22,Doug Baldwin,wr
23,T.Y. Hilton,wr
24,Tom Brady,qb
25,Leonard Fournette,rb
26,Christian McCaffrey,rb
27,Lamar Miller,rb
28,DeAndre Hopkins,wr
29,Isaiah Crowell,rb
30,Demaryius Thomas,wr
31,Keenan Allen,wr
32,Travis Kelce,te
33,Dalvin Cook,rb
34,Drew Brees,qb
35,Terrelle Pryor,wr
36,Marshawn Lynch,rb
37,Alshon Jeffery,wr
38,Ty Montgomery,rb
39,Davante Adams,wr
40,Carlos Hyde,rb
41,Michael Crabtree,wr
42,Joe Mixon,rb
43,Tyreek Hill,wr
44,Greg Olsen,te
45,Allen Robinson,wr
46,Golden Tate,wr
47,Matt Ryan,qb
48,Kelvin Benjamin,wr
49,Jordan Reed,te
50,Larry Fitzgerald,wr
51,Kareem Hunt,rb
52,Jarvis Landry,wr
53,Mark Ingram,rb
54,C.J. Anderson,rb
55,Stefon Diggs,wr
56,Jimmy Graham,te
57,Russell Wilson,qb
58,Martavis Bryant,wr
59,Ameer Abdullah,rb
60,Bilal Powell,rb
61,Tevin Coleman,rb
62,Sammy Watkins,wr
63,Emmanuel Sanders,wr
64,Jamison Crowder,wr
65,Doug Martin,rb
66,Willie Snead,wr
67,DeVante Parker,wr
68,Danny Woodhead,rb
69,Cam Newton,qb
70,Brandon Marshall,wr
71,Jameis Winston,qb
72,Mike Gillislee,rb
73,Tyler Eifert,te
74,Kyle Rudolph,te
75,Derek Carr,qb
76,Zach Ertz,te
77,Marcus Mariota,qb
78,Adrian Peterson,rb
79,Delanie Walker,te
80,Pierre Garcon,wr
81,Paul Perkins,rb
82,Kirk Cousins,qb
83,Derrick Henry,rb
84,Martellus Bennett,te
85,Ben Roethlisberger,qb
86,Andrew Luck,qb
87,DeSean Jackson,wr
88,Randall Cobb,wr
89,Frank Gore,rb
90,Rob Kelley,rb
91,LeGarrette Blount,rb
92,Terrance West,rb
93,Theo Riddick,rb
94,Darren McFadden,rb
95,Eric Decker,wr
96,Dak Prescott,qb
97,Jeremy Maclin,wr
98,Eddie Lacy,rb
99,Donte Moncrief,wr
100,Philip Rivers,qb
101,Duke Johnson,rb
102,Hunter Henry,te
103,Tyrell Williams,wr
104,Chris Hogan,wr
105,Matthew Stafford,qb
106,Thomas Rawls,rb
107,Broncos D/ST,d
108,Adam Thielen,wr
109,Corey Coleman,wr
110,James White,rb
111,Jonathan Stewart,rb
112,Eric Ebron,te
113,Matt Forte,rb
114,Marvin Jones,wr
115,Seahawks D/ST,d
116,Texans D/ST,d
117,Mike Wallace,wr
118,Jordan Matthews,wr
119,Corey Davis,wr
120,Jamaal Williams,rb
121,John Brown,wr
122,Chiefs D/ST,d
123,Kenny Britt,wr
124,Eli Manning,qb
125,Andy Dalton,qb
126,Jacquizz Rodgers,rb
127,Samaje Perine,rb
128,Carson Wentz,qb
129,Darren Sproles,rb
130,Jack Doyle,te
131,Rishard Matthews,wr
132,C.J. Prosise,rb
133,Cardinals D/ST,d
134,Stephen Gostkowski,k
135,Vikings D/ST,d
136,Carson Palmer,qb
137,Jeremy Hill,rb
138,Justin Tucker,k
139,Patriots D/ST,d
140,Jason Witten,te
141,Ted Ginn,wr
142,Latavius Murray,rb
143,Coby Fleener,te
