Player,CA,Pass_YDS,Pass_TD,INT,RUSH,Rush_YDS,Pass_TD,REC,Rec_YDS,Rec_TD,PTS
Antonio Brown, 0/0,0,0,0,4,22.3,0,108.5,1426.1,7.6,303.6
Julio Jones, 0/0,0,0.1,0,0,0,0.1,95.6,1432.4,7.4,283.8
Odell Beckham Jr., 0/0,0,0,0,0,0,0,97.6,1313,8.2,277.4
A.J. Green, 0/0,0,0,0,0,0,0,96.2,1319.8,7.6,273.9
Jordy Nelson, 0/0,0,0,0,0,0,0,88.5,1225.1,9.8,269.9
Mike Evans, 0/0,0,0,0,0,0,0,86.9,1205.2,8.6,260
Michael Thomas, 0/0,0,0,0,0,0,0,93.9,1173.1,8,258.5
T.Y. Hilton, 0/0,0,0,0,0,0,0,83.8,1313.7,7,257.6
Doug Baldwin, 0/0,0,0,0,4.1,25.7,0,85.4,1098.1,6.8,239.1
Demaryius Thomas, 0/0,0,0,0,0,0,0,87.6,1106.2,5.9,232.5
Amari Cooper, 0/0,0,0,0,4,25.4,0,82,1115.3,5.6,229.4
DeAndre Hopkins, 0/0,0,0,0,0,0,0,83,1136.2,5.4,229
Brandin Cooks, 0/0,0,0,0,2.1,13.3,0,80.8,1091.7,6.2,228.8
Emmanuel Sanders, 0/0,0,0,0,0,0,0,83.6,1132.8,5.3,228.3
Michael Crabtree, 0/0,0,0,0,0,0,0,85.1,987.1,7.2,226.8
Terrelle Pryor Sr., 0/0,0,0,0,3.3,20.7,0,76.7,1085.3,6.4,225.8
Larry Fitzgerald, 0/0,0,0,0,0,0,0,89.9,1000.7,5.9,224.3
Golden Tate, 0/0,0,0.1,0,9.8,55,0.1,84.5,974.3,5.5,220.8
Davante Adams, 0/0,0,0,0,0,0,0,75.3,932.3,8.4,218
Alshon Jeffery, 0/0,0,0,0,0,0,0,75.6,1063.7,5.6,215.5
Dez Bryant, 0/0,0,0,0,0,0,0,69.5,994.4,7.6,214.1
Jarvis Landry, 0/0,0,0.1,0,4.1,24.2,0.1,87.7,948.6,4.5,213.4
Tyreek Hill, 0/0,0,0,0,26.7,168.4,0,76,834.3,4.1,212.5
Keenan Allen, 0/0,0,0,0,0,0,0,83,954.3,5,207.3
Sammy Watkins, 0/0,0,0,0,0,0,0,70.7,1092.9,4.4,205.6
Kelvin Benjamin, 0/0,0,0.1,0,0,0,0.1,67.7,973.4,6.7,205.3
Allen Robinson, 0/0,0,0,0,0,0,0,72.3,976,5.8,204.6
Jamison Crowder, 0/0,0,0,0,4,25.3,0,78.9,961.7,4.2,203.9
Martavis Bryant, 0/0,0,0,0,6,37.9,0,61.9,926.3,7,201.7
Stefon Diggs, 0/0,0,0,0,3.7,23.5,0,79.9,925.5,4.3,201.1
Pierre Garcon, 0/0,0,0,0,0,0,0,80,965.3,3.8,199.7
DeVante Parker, 0/0,0,0.1,0,0,0,0.1,66.5,921.5,6.5,197.5
Brandon Marshall, 0/0,0,0,0,0,0,0,67.2,873.9,6.5,193.7
Donte Moncrief, 0/0,0,0,0,3.8,23.5,0,68.5,802,7,193.1
Jeremy Maclin, 0/0,0,0,0,2.3,14.4,0,75.1,914.3,3.9,190.6
Randall Cobb, 0/0,0,0.2,0,7.4,47.4,0.2,68.2,781,6,189.3
DeSean Jackson, 0/0,0,0,0,0,0,0,58,951.4,4.5,180.4
Adam Thielen, 0/0,0,0,0,3.7,23.5,0,68,872.4,3.6,179.5
Jordan Matthews, 0/0,0,0,0,0,0,0,69.1,834.6,4,176.2
Mike Wallace, 0/0,0,0,0,3.8,24.6,0,65.6,821.3,4.2,175.6
Kenny Britt, 0/0,0,0,0,0,0,0,61.5,876.4,4.5,175.3
Chris Hogan, 0/0,0,0,0,10.3,65.3,0,53.8,787.1,5.7,175.3
Marvin Jones Jr., 0/0,0,0,0,0,0,0,55.8,824.8,5.7,172.3
Corey Davis, 0/0,0,0.1,0,0,0,0.1,59.9,755,5.8,170
Eric Decker, 0/0,0,0,0,0,0,0,55.8,752.3,6.4,168.9
Tyrell Williams, 0/0,0,1.2,0,0,0,1.2,53.7,787.5,5.3,163.9
Willie Snead, 0/0,0,0,0,0,0,0,60.2,765.3,4.4,161.9
Torrey Smith, 0/0,0,0,0,0,0,0,52.2,829.8,4.5,161.9
Rishard Matthews, 0/0,0,0,0,0,0,0,53.5,758.5,5,159.1
Kevin White, 0/0,0,0,0,2.4,15.1,0,60,701.9,4.4,158.2
Tyler Lockett, 0/0,0,0,0,4.1,25.7,0,53,739,4,157.1
Ted Ginn Jr., 0/0,0,0,0,4,28.5,0,50.2,742,4.5,157
Zay Jones, 0/0,0,0,0,0,0,0,60.8,736,3.7,156.2
Sterling Shepard, 0/0,0,0,0,4,25,0,58.1,669.2,4.6,155.3
Cole Beasley, 0/0,0,0,0,0,0,0,65.9,698.1,3.1,154.7
Marqise Lee, 0/0,0,0.1,0,8.5,53.5,0.1,57.1,686.9,3.2,154.7
Mohamed Sanu, 0/0,0,0,0,3.9,24.2,0,54.7,630.2,5.5,154.1
John Brown, 0/0,0,0.2,0,3.6,22.7,0.2,51.9,748.7,3.8,152.7
Corey Coleman, 0/0,0,0,0,5.6,35.2,0,57.7,715.6,3.1,152
