Rank,Player,Team,Bye,POS,ESPN,MFL,FFC,RTSports,Fantrax,DW,AVG
1,David Johnson,ARI,8,RB1,1,1,1,,1,1,1
2,Le'Veon Bell,PIT,9,RB2,2,2,2,,2,2,2
3,Antonio Brown,PIT,9,WR1,3,3,3,,3,3,3
4,Julio Jones,ATL,5,WR2,4,4,4,,4,4,4
5,LeSean McCoy,BUF,6,RB3,6,8,7,,5,6,6.4
6,Mike Evans,TB,1,WR3,9,6,6,,7,7,7
7,A.J. Green,CIN,6,WR4,10,7,9,,9,8,8.6
8,Devonta Freeman,ATL,5,RB4,8,10,8,,10,11,9.4
9,Melvin Gordon,LAC,9,RB5,11,9,11,,8,9,9.6
10,Jordy Nelson,GB,8,WR5,7,11,12,,12,10,10.4
11,Michael Thomas,NO,5,WR6,12,12,13,,11,12,12
12,Jordan Howard,CHI,9,RB6,13,13,16,,15,15,14.4
13,DeMarco Murray,TEN,8,RB7,14,15,15,,14,14,14.4
14,Jay Ajayi,MIA,1,RB8,15,14,14,,19,13,15
15,Ezekiel Elliott,DAL,6,RB9,21,17,10,,13,16,15.4
16,Amari Cooper,OAK,10,WR7,19,16,21,,16,18,18
17,Todd Gurley,LAR,8,RB10,18,19,20,,17,19,18.6
18,Brandin Cooks,NE,9,WR8,16,23,17,,23,20,19.8
19,Rob Gronkowski,NE,9,TE1,17,20,18,,22,22,19.8
20,Dez Bryant,DAL,6,WR9,24,18,22,,20,17,20.2
21,Doug Baldwin,SEA,6,WR10,23,22,23,,25,21,22.8
22,Leonard Fournette,JAC,8,RB11,26,24,28,,21,25,24.8
23,T.Y. Hilton,IND,11,WR11,25,21,34,,28,23,26.2
24,Christian McCaffrey,CAR,11,RB12,30,28,24,,24,30,27.2
25,DeAndre Hopkins,HOU,7,WR12,29,26,32,,27,27,28.2
26,Demaryius Thomas,DEN,5,WR13,32,25,36,,32,26,30.2
27,Lamar Miller,HOU,7,RB13,27,31,37,,26,32,30.6
28,Tom Brady,NE,9,QB1,22,35,31,,31,35,30.8
29,Keenan Allen,LAC,9,WR14,40,29,26,,40,28,32.6
30,Terrelle Pryor,WAS,5,WR15,31,34,29,,39,34,33.4
31,Isaiah Crowell,CLE,9,RB14,36,32,30,,38,33,33.8
32,Marshawn Lynch,OAK,10,RB15,28,40,39,,30,42,35.8
33,Travis Kelce,KC,10,TE2,41,33,41,,29,36,36
34,Alshon Jeffery,PHI,10,WR16,35,37,40,,36,37,37
35,Kareem Hunt,KC,10,RB16,33,73,19,,37,29,38.2
36,Michael Crabtree,OAK,10,WR17,37,42,43,,43,40,41
37,Carlos Hyde,SF,11,RB17,38,44,35,,45,45,41.4
38,Davante Adams,GB,8,WR18,48,41,46,,35,38,41.6
39,Ty Montgomery,GB,8,RB18,45,43,33,,48,41,42
40,Drew Brees,NO,5,QB2,34,51,45,,34,50,42.8
41,Joe Mixon,CIN,6,RB19,57,38,44,,33,47,43.8
42,Golden Tate,DET,7,WR19,47,45,49,,47,44,46.4
43,Larry Fitzgerald,ARI,8,WR20,44,46,50,,56,43,47.8
44,Greg Olsen,CAR,11,TE3,43,53,52,,46,46,48
45,Tyreek Hill,KC,10,WR21,54,39,48,,58,53,50.4
46,Jordan Reed,WAS,5,TE4,46,52,56,,51,48,50.6
47,Kelvin Benjamin,CAR,11,WR22,49,55,38,,62,52,51.2
48,Martavis Bryant,PIT,9,WR23,58,49,42,,52,55,51.2
49,Jarvis Landry,MIA,1,WR24,52,50,67,,44,51,52.8
50,Mark Ingram,NO,5,RB20,55,56,58,,53,56,55.6
51,Matt Ryan,ATL,5,QB3,39,71,61,,50,59,56
52,Stefon Diggs,MIN,9,WR25,67,47,57,,64,49,56.8
53,Jimmy Graham,SEA,6,TE5,53,64,60,,59,54,58
54,Bilal Powell,NYJ,11,RB21,56,65,47,,63,63,58.8
55,Sammy Watkins,LAR,8,WR26,63,48,71,,55,58,59
56,Emmanuel Sanders,DEN,5,WR27,50,60,73,,60,57,60
57,C.J. Anderson,DEN,5,RB22,69,58,53,,57,67,60.8
58,Devante Parker,MIA,1,WR28,71,66,54,,54,62,61.4
59,Russell Wilson,SEA,6,QB4,51,72,65,,70,61,63.8
60,Jamison Crowder,WAS,5,WR29,59,59,63,,78,60,63.8
61,Ameer Abdullah,DET,7,RB23,75,57,55,,61,72,64
62,Danny Woodhead,BAL,10,RB24,65,63,62,,85,64,67.8
63,Pierre Garcon,SF,11,WR30,70,70,66,,79,65,70
64,Tevin Coleman,ATL,5,RB25,90,67,74,,49,76,71.2
65,Kyle Rudolph,MIN,9,TE6,72,80,84,,67,68,74.2
66,Adrian Peterson,ARI,8,RB26,62,77,70,,87,81,75.4
67,Doug Martin,TB,1,RB27,97,69,51,,86,77,76
68,Mike Gillislee,NE,9,RB28,77,75,69,,82,86,77.8
69,Delanie Walker,TEN,8,TE7,66,87,82,,73,84,78.4
70,Zach Ertz,PHI,10,TE8,82,85,75,,71,79,78.4
71,Frank Gore,IND,11,RB29,64,89,88,,76,87,80.8
72,Jameis Winston,TB,1,QB5,89,93,85,,66,74,81.4
73,Theo Riddick,DET,7,RB30,81,84,83,,77,89,82.8
74,Robert Kelley,WAS,5,RB31,78,101,64,,81,94,83.6
75,Kirk Cousins,WAS,5,QB6,74,99,87,,91,71,84.4
76,Paul Perkins,NYG,8,RB32,88,88,86,,68,93,84.6
77,Jeremy Maclin,BAL,10,WR31,86,81,80,,101,75,84.6
78,Willie nead,NO,5 S,WR32,119,61,96,,75,73,84.8
79,Marcus Mariota,TEN,8,QB7,92,91,79,,93,69,84.8
80,Derek Carr,OAK,10,QB8,76,96,77,,94,83,85.2
81,Cam Newton,CAR,11,QB9,61,98,90,,103,82,86.8
82,DeSean Jackson,TB,1,WR33,80,79,92,,105,80,87.2
83,Martellus Bennett,GB,8,TE9,85,94,97,,74,99,89.8
84,Derrick Henry,TEN,8,RB33,130,76,78,,69,97,90
85,Eric Decker,TEN,8,WR34,87,95,91,,89,90,90.4
86,Randall Cobb,GB,8,WR35,94,86,94,,88,91,90.6
87,Duke Johnson,CLE,9,RB34,104,90,95,,80,95,92.8
88,Tyrell Williams,LAC,9,WR36,112,82,99,,84,88,93
89,Terrance West,BAL,10,RB35,84,97,89,,109,98,95.4
90,Andrew Luck,IND,11,QB10,110,92,107,,104,85,99.6
91,Adam Thielen,MIN,9,WR37,108,103,102,,90,101,100.8
92,Eddie Lacy,SEA,6,RB36,91,106,111,,96,104,101.6
