,Rank,Player,Score
0,0,David Johnson,208.9
1,1,Le'Veon Bell,208.9
2,2,Ezekiel Elliott,150.5
3,3,Antonio Brown,124.1
4,4,LeSean McCoy,105.9
5,5,Julio Jones,104.3
6,6,Devonta Freeman,101.1
7,7,Odell Beckham Jr.,97.9
8,8,A.J. Green,94.4
9,9,Todd Gurley II,92.5
10,10,Jordy Nelson,90.4
11,11,Melvin Gordon,87.4
12,12,Jay Ajayi,81
13,13,Mike Evans,80.5
14,14,Rob Gronkowski,79.2
15,15,Michael Thomas,79
16,16,Jordan Howard,78.3
17,17,T.Y. Hilton,78.1
18,18,Aaron Rodgers,77.7
19,19,DeMarco Murray,74.1
20,20,Leonard Fournette,70.1
21,21,Tom Brady,68.5
22,22,Greg Olsen,61
23,23,Doug Baldwin,59.6
24,24,Kareem Hunt,59.1
25,25,Marshawn Lynch,56.9
26,26,Lamar Miller,56.6
27,27,Drew Brees,56.4
28,28,Demaryius Thomas,53
29,29,Travis Kelce,51.9
30,30,Amari Cooper,49.9
31,31,DeAndre Hopkins,49.5
32,32,Jordan Reed,49.4
33,33,Brandin Cooks,49.3
34,34,Emmanuel Sanders,48.8
35,35,Matt Ryan,47.6
36,36,Michael Crabtree,47.3
37,37,Carlos Hyde,46.7
38,38,Terrelle Pryor Sr.,46.3
39,39,Larry Fitzgerald,44.8
40,40,Christian McCaffrey,42.4
41,41,Isaiah Crowell,42.4
42,42,Russell Wilson,41.7
43,43,Golden Tate,41.3
44,44,Cam Newton,41
45,45,Mark Ingram,38.7
46,46,Davante Adams,38.5
47,47,Alshon Jeffery,36
48,48,Dalvin Cook,35.8
49,49,Dez Bryant,34.6
50,50,Jarvis Landry,33.9
51,51,Tyreek Hill,33
52,52,Ty Montgomery,29.4
53,53,Bilal Powell,29
54,54,Matthew Stafford,28.9
55,55,Danny Woodhead,28.1
56,56,Frank Gore,27.9
57,57,Terrance West,27.9
58,58,Keenan Allen,27.8
59,59,Sammy Watkins,26.1
